when using hse as pll input
hse is 25MHz

fs: 24 MHz 24000000  m: 57, n: 342, q:  2, p: 4
fs: 24 MHz 24000000  m: 58, n: 348, q:  2, p: 4
fs: 24 MHz 24000000  m: 59, n: 354, q:  2, p: 4
fs: 24 MHz 24000000  m: 60, n: 360, q:  2, p: 4
fs: 24 MHz 24000000  m: 61, n: 366, q:  2, p: 4
fs: 24 MHz 24000000  m: 62, n: 372, q:  2, p: 4
fs: 24 MHz 24000000  m: 63, n: 378, q:  2, p: 4
fs: 30 MHz 30000000  m:  4, n:  60, q:  5, p: 8
fs: 30 MHz 30000000  m:  5, n:  75, q:  5, p: 8
fs: 30 MHz 30000000  m:  6, n:  90, q:  5, p: 8
fs: 30 MHz 30000000  m:  7, n: 105, q:  5, p: 8
fs: 30 MHz 30000000  m:  8, n: 120, q:  5, p: 8
fs: 30 MHz 30000000  m:  9, n: 135, q:  5, p: 8
fs: 30 MHz 30000000  m: 10, n: 150, q:  5, p: 8
fs: 30 MHz 30000000  m: 11, n: 165, q:  5, p: 8
fs: 30 MHz 30000000  m: 12, n: 180, q:  5, p: 8
fs: 30 MHz 30000000  m: 13, n: 195, q:  5, p: 8
fs: 30 MHz 30000000  m: 14, n: 210, q:  5, p: 8
fs: 30 MHz 30000000  m: 15, n: 225, q:  5, p: 8
fs: 30 MHz 30000000  m: 16, n: 240, q:  5, p: 8
fs: 30 MHz 30000000  m: 17, n: 255, q:  5, p: 8
fs: 30 MHz 30000000  m: 18, n: 270, q:  5, p: 8
fs: 30 MHz 30000000  m: 19, n: 285, q:  5, p: 8
fs: 30 MHz 30000000  m: 20, n: 300, q:  5, p: 8
fs: 30 MHz 30000000  m: 21, n: 315, q:  5, p: 8
fs: 30 MHz 30000000  m: 22, n: 330, q:  5, p: 8
fs: 30 MHz 30000000  m: 23, n: 345, q:  5, p: 8
fs: 30 MHz 30000000  m: 24, n: 360, q:  5, p: 8
fs: 30 MHz 30000000  m: 25, n: 375, q:  5, p: 8
fs: 30 MHz 30000000  m: 26, n: 390, q:  5, p: 8
fs: 30 MHz 30000000  m: 27, n: 405, q:  5, p: 8
fs: 30 MHz 30000000  m: 28, n: 420, q:  5, p: 8
fs: 32 MHz 32000000  m:  5, n:  60, q:  4, p: 6
fs: 32 MHz 32000000  m:  6, n:  72, q:  4, p: 6
fs: 32 MHz 32000000  m:  7, n:  84, q:  4, p: 6
fs: 32 MHz 32000000  m:  8, n:  96, q:  4, p: 6
fs: 32 MHz 32000000  m:  9, n: 108, q:  4, p: 6
fs: 32 MHz 32000000  m: 10, n: 120, q:  4, p: 6
fs: 32 MHz 32000000  m: 11, n: 132, q:  4, p: 6
fs: 32 MHz 32000000  m: 12, n: 144, q:  4, p: 6
fs: 32 MHz 32000000  m: 13, n: 156, q:  4, p: 6
fs: 32 MHz 32000000  m: 14, n: 168, q:  4, p: 6
fs: 32 MHz 32000000  m: 15, n: 180, q:  4, p: 6
fs: 32 MHz 32000000  m: 16, n: 192, q:  4, p: 6
fs: 32 MHz 32000000  m: 17, n: 204, q:  4, p: 6
fs: 32 MHz 32000000  m: 18, n: 216, q:  4, p: 6
fs: 32 MHz 32000000  m: 19, n: 228, q:  4, p: 6
fs: 32 MHz 32000000  m: 20, n: 240, q:  4, p: 6
fs: 32 MHz 32000000  m: 21, n: 252, q:  4, p: 6
